Kecamatan,Desa,Link
MOJO,PETUNGROTO,https://docs.google.com/spreadsheets/d/1sGCtYMDvggU904nf07TyISwTDN1kdqL7/edit
MOJO,PAMONGAN,https://docs.google.com/spreadsheets/d/168GjQz5--O0B2UBe84rpvEL05Ufy69T3/edit
MOJO,PONGGOK,https://docs.google.com/spreadsheets/d/1zjb-Vnkd27VGnat-focrxEbzAsIn-QMb/edit
MOJO,KRANDING,https://docs.google.com/spreadsheets/d/1t_FCimNgTbdLHdZQSny_KMEb8P1kDqfB/edit
MOJO,MAESAN,https://docs.google.com/spreadsheets/d/1nbUnb6QlzT_I8GqS2yaNA2cB9-nEzcnT/edit
MOJO,NGADI,https://docs.google.com/spreadsheets/d/1d_4T1Brrr_JFuceoEzpWrRTLJhTD_Csh/edit
MOJO,KEDAWUNG,https://docs.google.com/spreadsheets/d/1CdWHPz5MklTdo0mvHhq0lb7SOKrHpCqK/edit
MOJO,PLOSO,https://docs.google.com/spreadsheets/d/164y_Ex_EYTYpq9eeP8MBJyTxnsXuT1yi/edit
MOJO,MOJO,https://docs.google.com/spreadsheets/d/1vSNVuWXF9bjjvg1utSpkI-2Amm1a71iX/edit
MOJO,MLATI,https://docs.google.com/spreadsheets/d/1tuXuL4ylKxOwDwlUaRIHSlGX3_yWgcwb/edit
MOJO,TAMBIBENDO,https://docs.google.com/spreadsheets/d/1dudmb4sanrJSjqd_uUP5UOTU1ZTOqZNn/edit
MOJO,SUKOANYAR,https://docs.google.com/spreadsheets/d/1ORyVbp9T6RaLQy5yQOw9ptnDVP8IXS53/edit
MOJO,KRATON,https://docs.google.com/spreadsheets/d/1Hd_kaOfb8K8iBqt3CfbeslnN6hF3EMo2/edit
MOJO,SURAT,https://docs.google.com/spreadsheets/d/1GLv6savD68gG8cuH2s-oO674s0a0DGQ5/edit
KRAS,SETONOREJO,https://docs.google.com/spreadsheets/d/1pt-RbmWdxQiPkRVJ3yv4LkH7cVfL-j3v/edit
PLOSOKLATEN,PLOSO_LOR,https://docs.google.com/spreadsheets/d/12n8elVGrT9YkqdbSxQtw3aKIoUc9WNUJ/edit
PLOSOKLATEN,KLANDERAN,https://docs.google.com/spreadsheets/d/1mjk2iRHA3qp99Zh7SPQPQZmSDYmEPsYV/edit
