Kecamatan,Desa,Link
NGASEM,SUMBEREJO.xlsx,https://docs.google.com/spreadsheets/d/1Nv-EI1PtSABQr84LyRQNdu8D5zIb__Qr/edit?usp=drivesdk&ouid=104228525934448629589&rtpof=true&sd=true
NGASEM,WONOCATUR.xlsx,https://docs.google.com/spreadsheets/d/1PtDVatOTixoGo30n9Vqd5mfwDNg2Z5KB/edit?usp=drivesdk&ouid=104228525934448629589&rtpof=true&sd=true
NGASEM,KWADUNGAN.xlsx,https://docs.google.com/spreadsheets/d/1QpOe3cSRlSBTO0W128AjrVl8zwmHU1r7/edit?usp=drivesdk&ouid=104228525934448629589&rtpof=true&sd=true
NGASEM,TOYORESMI.xlsx,https://docs.google.com/spreadsheets/d/1YbdRU_FSxOhJbQMZK3QLf8BHoZ2VNXEH/edit?usp=drivesdk&ouid=104228525934448629589&rtpof=true&sd=true
NGASEM,DOKO.xlsx,https://docs.google.com/spreadsheets/d/1Z6FE-iQzQqlDMVWZrnj51B-y2XxsBl46/edit?usp=drivesdk&ouid=104228525934448629589&rtpof=true&sd=true
NGASEM,GOGORANTE.xlsx,https://docs.google.com/spreadsheets/d/1brUNyM5Jq78-Prtw99QNQ7n-cfNd-ff0/edit?usp=drivesdk&ouid=104228525934448629589&rtpof=true&sd=true
NGASEM,SUKOREJO.xlsx,https://docs.google.com/spreadsheets/d/1cFoYWK1fPSTetT_ufq8R_hfshvOcuBfd/edit?usp=drivesdk&ouid=104228525934448629589&rtpof=true&sd=true
NGASEM,PARON.xlsx,https://docs.google.com/spreadsheets/d/1cq2idEn-f0H3hlYNLD-bpStPx8PjCJ9F/edit?usp=drivesdk&ouid=104228525934448629589&rtpof=true&sd=true
PARE,PELEM.xlsx,https://docs.google.com/spreadsheets/d/1514m2PfKEPbDCVJLctp7dwwpHU_uPEyd/edit?usp=drivesdk&ouid=104228525934448629589&rtpof=true&sd=true
PARE,TERTEK.xlsx,https://docs.google.com/spreadsheets/d/17TI7usftYwu30ulXVvxJ1GR7iPTXYPyg/edit?usp=drivesdk&ouid=104228525934448629589&rtpof=true&sd=true
PARE,GEDANGSEWU.xlsx,https://docs.google.com/spreadsheets/d/1SbxJ1lQ1oXi06WENHP1EF51sxfWu1LT8/edit?usp=drivesdk&ouid=104228525934448629589&rtpof=true&sd=true
PARE,SAMBIREJO.xlsx,https://docs.google.com/spreadsheets/d/1V7oSsOGkPYEhcPullnrehUA43Y2JOZvN/edit?usp=drivesdk&ouid=104228525934448629589&rtpof=true&sd=true
PARE,SUMBERBENDO.xlsx,https://docs.google.com/spreadsheets/d/1fJ612-q_ytPB9aifvrh8UZBMJQ-GPcUt/edit?usp=drivesdk&ouid=104228525934448629589&rtpof=true&sd=true
PARE,DARUNGAN.xlsx,https://docs.google.com/spreadsheets/d/1l675k58J_1cegwnTqb7jRFLy3HTNS1DU/edit?usp=drivesdk&ouid=104228525934448629589&rtpof=true&sd=true
PARE,BENDO.xlsx,https://docs.google.com/spreadsheets/d/1qGGZ7SB87vxksmA-cwJS9IV-36FShqqC/edit?usp=drivesdk&ouid=104228525934448629589&rtpof=true&sd=true
PARE,TULUNGREJO.xlsx,https://docs.google.com/spreadsheets/d/1qSwzzBNpM9OWLaixV5cntu17GDGDW7PE/edit?usp=drivesdk&ouid=104228525934448629589&rtpof=true&sd=true
PARE,SIDOREJO.xlsx,https://docs.google.com/spreadsheets/d/10e0hTxwgLuukQKqGU8d_M1Ob6dzZSxa5/edit?usp=drivesdk&ouid=104228525934448629589&rtpof=true&sd=true
PARE,PARE.xlsx,https://docs.google.com/spreadsheets/d/1luZZkM4RCjIW1gGLwfIXUNB85BH9GF9m/edit?usp=drivesdk&ouid=104228525934448629589&rtpof=true&sd=true
